tik_codigo,descripcion,propietario,categoria,ans,nombre_cliente,Linea_Negocio,new_category,new_descripcion
TKT8626,OTS QUE NO SALEN EN EL REPORTE.Por favor revisar las siguientes OTs que no aparecen en el reporte de órdenes de trabajo. correo 11 de enero 2019. Laura Marín.,1053828550,,NCC,Applus Norcontrol Panamá S.A,Geolumina,,ots salen reporte favor revisar siguientes ots aparecen reporte ordenes trabajo correo enero laura marin
TIK1859,Informe técnico - Agregar la opción Impone medida preventiva en el campo Tipo.,1053847182,1- Nuevo requerimiento,NR,CAR de Boyacá,Geoambiental,Nuevo requerimiento,informe tecnico agregar opción impone medida preventiva campo tipo
TKT8628,Reunión KPI con Beatriz,1053856994,,NR,Veolia (antiguo Grupo Sala),Geoaseo,,reunion pi beatriz
TKT8630,Informe Codensa dic y ene,1053771474,,,Codensa,Geolumina,,informe condensa dic ene
TKT8633,LLAMADA ENTRANTE,1053847182,,,CAR de Caldas - Corpocaldas,Geoambiental,,llamada entrante
TKT8634,LLAMADA ENTRANTE,1053847182,,,CAR de Caldas - Corpocaldas,Geoambiental,,llamada entrante
TKT8635,"En la aplicación de levantamiento al momento de colocar la norma de postes o cámaras , cuando se realiza la edición esta norma se cambia , esto solo sucede en normas que tienen una similar pero con un - seguido como las de la imagen a continuación",1032459195,,SS,Codensa,Geolumina,,aplicación levantamiento momento colocar norma postes camaras realiza edición norma cambia solo sucede normas similar seguido imagen continuación
TKT8636,Se requiere el cambio de nivel de tensión de la siguiente orden OT_1007694 de BT a MT,1032459195,,SS,Codensa,Geolumina,,requiere cambio nivel tension siguiente orden ot_1007694 bt mt
TIK1767,En los reportes de órdenes de trabajo el día de hoy me salieron menos que el día de ayer en medidores,1053860140,Datos erroneos en reporte,NCC,Applus Norcontrol Panamá S.A,Geolumina,Reporte,reportes ordenes trabajo dia hoy salieron menos dia ayer medidores
TKT8637,LLAMADA ENTRANTE,1032459195,,,Codensa,Geolumina,,llamada entrante
TKT8638,LLAMADA ENTRANTE,1032459195,,,Codensa,Geolumina,,llamada entrante
TKT8639,"OT con problemas de ubicación en el levantamiento. (7256, 7254, 7255, 7257). Las mismas son Bt y pertenecen a zona Oeste.La tachuela filtra en la posición donde debe de ir el levantamiento pero el levantamiento de las 4 OTs está en la misma posición muy alejados de su ubicación.El Técnico estuvo levantando hoy las ordenes mencionadas, pero a la hora de llegar a oficina se percató que el levantamiento no le aparecía en la tableta. Cuando me fijo en el visor, todas las ordenes mencionadas están agrupadas una encima de otra. Espero puedas ayudarme con este percance. Anexo foto con las coordenadas en donde debe ir el levantamiento. correo 10 enero 2019. Laura Marín.",1053828550,,NCC,Applus Norcontrol Panamá S.A,Geolumina,,ot problemas ubicación levantamiento mismas bt pertenecen zona oeste tachuela filtra posición debe ir levantamiento levantamiento ots misma posición alejados ubicación tecnico levantando hoy ordenes mencionadas hora llegar oficina percato levantamiento aparecia tableta fijo visor todas ordenes mencionadas estan agrupadas encima espero puedas ayudarme percance anexo foto coordenadas debe ir levantamiento correo enero laura marin
TKT8640,LLAMADA ENTRANTE,1032459195,,,Codensa,Geolumina,,llamada entrante
TKT8681,Se requiere de su amable colaboración para  cambiar de nivel de tensión el descargo OT_1008367 de BT a MT debido a que la actividad es retiro de RC  esta debe quedar en el perfil del coordinador de MT (1022338049).,1032459195,,SS,Codensa,Geolumina,,requiere amable colaboración cambiar nivel tension descargo ot_1008367 bt mt debido actividad retiro rc debe quedar perfil coordinador mt
TKT8641,EMAIL,1032459195,,,Codensa,Geolumina,,email
TKT8642,ASESORIA,1032459195,,,Codensa,Geolumina,,asesoria
TKT8645,ASESORIA,1053847182,,,Veolia (antiguo Grupo Sala),Geoaseo,,asesoria
TKT8682,Por parte de WSP y con autorización del Ing Victor se solicita  de un perfil MIXTO MT-BT  que el gestionador en mención aparezca en las bandejas de asignación de los dos coordinadores MT- BT y se le pueda asignar ordenes en los dos niveles de tensión el cual seria Ruben Dario Martinez (1022975720 ).,1032459195,,NR,Codensa,Geolumina,,parte esp autorización ing victor solicita perfil mixto mt bt gestionado mencionó aparezca bandejas asignación dos coordinadores mt bt pueda asignar ordenes dos niveles tension seria ruben dario martinez
TIK6537,"Solicito amablemente realizar el cargue de ciclos de ciclos de  PASTO

Algunas de las HREC ya poseen ciclos en geoaseo, por lo cual se solicita primero eliminar los ciclos de dichas HREC y agregar los nuevos.
Al finalizar, solicito amablemente cerrar las HREC",1053792868,Cambiar datos por BD,SS,Veolia (antiguo Grupo Sala),Geoaseo,Datos,solicito amablemente realizar cargue ciclos ciclos pasto rec poseen ciclos gaseo solicita primero eliminar ciclos dichas rec agregar nuevos finalizar solicito amablemente cerrar rec
TKT8648,Realizar auditoria applus,1053828550,,SS,Applus Norcontrol Panamá S.A,Geolumina,,realizar auditoria apples
TIK2151,Agradezco de su acostumbrada colaboración para llevar a estado cancelado las OTs adjuntas,1053860140,Cambiar datos por BD,SS,Codensa,Geolumina,Datos,agradezco acostumbrada colaboración llevar cancelado ots adjuntas
TIK1339,"Estaban como te comenté telefónicamente debe efectuarse una revisión a los datos de combustible en el reporte BI_RECOLECCION. 

Esta mañana observamos que existían registros repetidos en la tabla GALONES como puede observarse en la imagen a continuación. Se trata de un vehículo de Emas Pasto que tanqueó 2 veces por día los días 22 y 23 de mayo. Sin embargo, en la tabla combustible aparecen 3 registros por día, porque los tickets de 15,109 galones y 13,144 galones se duplican. ",1053830949,Datos erroneos en BI,NCB,Veolia (antiguo Grupo Sala),Geoaseo,Datos,comente telefónicamente debe efectuarse revision datos combustible reporte bi_recoleccion mañana observamos existian registros repetidos tabla galones puede observarse imagen continuación trata vehiculo esas pasto tanque veces dia dias mayo embargo tabla combustible aparecen registros dia tickets galones galones duplican
TIK2237,"Usuarios dobles para habilitar vehiculo

cree un nuevo usuario en Veolia Cúcuta identifique que los usuarios que tienen permiso para habilitar los vehiculos aparecen dobles.",1053856994,1- Nuevo requerimiento,NR,Veolia (antiguo Grupo Sala),Geoaseo,Nuevo requerimiento,usuarios dobles habilitar vehiculo cree nuevo usuario verla cicuta identifique usuarios permiso habilitar vehiculos aparecen dobles
TKT8650,Revisión KPI,1053856994,,NR,Veolia (antiguo Grupo Sala),Geoaseo,,revision pi
TKT8651,manual usuario - trayectos pernoctaciones,1058818488,,NR,Codensa,Geolumina,,manual usuario trayectos pernoctaciones
TKT8652,LLAMADA ENTRANTE,1053830949,,,Veolia (antiguo Grupo Sala),Geoaseo,,llamada entrante
TKT8653,EMAIL,1053828550,,,Dosquebradas Energía y Luz S.A,Geolumina,,email
TIK2058,revisar las ordenes de levantamiento que no tienen baremos calculados ,1058818488,Datos erroneos en reporte,NCC,Codensa,Geolumina,Reporte,revisar ordenes levantamiento haremos calculados
TKT8655,configuracion de GPS de pasto remotamente,1053830949,,SS,Veolia (antiguo Grupo Sala),Geoaseo,,configuración gps pasto remotamente
TKT8656,"Se requiere por parte de WSP según el hilo de correo las siguientes modificaciones . Creación del proyecto LEVANTAMIENTO BT CENTRO en el perfil de MT(este proyecto ya se encuentra en Geolumina pero en BT por cual se solicita también este disponible en MT). Asignación del proyecto LEVANTAMIENTO BT CENTRO para las 726 ordenes de MT que relaciono en el adjunto(sobre este punto las ordenes aparecen con el proyecto indicado pero desde el perfil de solicitante parece vació ) De las 726 ordenes muchas cargaron sin DIRECCION, UNIDAD SOLICITANTE, UNIDAD RESPONSABLE, AREA agradezco tu ayuda con la corrección según sea el caso.",1032459195,,NCB,Codensa,Geolumina,,requiere parte esp segun hilo correo siguientes modificaciones creación proyecto levantamiento bt centro perfil mt proyecto encuentra geolumina bt solicita tambien disponible mt asignación proyecto levantamiento bt centro ordenes mt relaciono adjunto punto ordenes aparecen proyecto indicado perfil solicitante parece vacio ordenes muchas cargaron dirección unidad solicitante unidad responsable area agradezco ayuda corrección segun caso
TKT8657,Reunión KPI con Beatriz,1053856994,,NR,Veolia (antiguo Grupo Sala),Geoaseo,,reunion pi beatriz
TIK9763,"Cordial saludo, adjunto cargue de combustible para la ciudad de Cúcuta.",1004521241,Carga de datos masiva,CD,Veolia (antiguo Grupo Sala),Geoaseo,Datos,cordial saludo adjunto cargue combustible ciudad cicuta
TKT8660,Configuracion de GPS Manizales enviados desde Emass,1053830949,,SS,Veolia (antiguo Grupo Sala),Geoaseo,,configuración gps maizales enviados mass
TKT11461,Error sobre la funcionalidad de conversión de planas a geográficas,1053847182,,NCD,CAR de Boyacá,Geoambiental,,error funcionalidad conversion planas geográficas
TKT8663,VIDEO,1053828550,,,Llanogas,Geolumina,,video
TKT8664,Revisar widget exportar SHP Llanogas y Capa Toponimia,1053828550,,NCC,Llanogas,Geolumina,,revisar midget exportar she llantas capa toponimia
TKT8666,guardar el usuario que registro el ticket de bascula ya sea desde web o movilidad,1053830949,,NR,Veolia (antiguo Grupo Sala),Geoaseo,,guardar usuario registro ticket bascula web movilidad
TIK3038,"Favor su apoyo desbloqueando mi acceso al sistema
Cambie la clave y no he logrado ingresar.
DIEGO LOPEZCC 91290117",1053860140,Cambiar datos por BD,SS,Codensa,Geolumina,Datos,favor apoyo desbloqueando acceso sistema cambie clave logrado ingresar diego lopez
TKT8667,Crear municipio san jose en adminitrar microruta,1053830949,,NCDT,Veolia (antiguo Grupo Sala),Geoaseo,,crear municipio san jose administrar microruta
TKT8668,VIDEO,1053828550,,,Dosquebradas Energía y Luz S.A,Geolumina,,video
TKT8669,actualmente el filtro solo muestra por tipo especial y recoleccion y se requiere que en los combos muestre solo las activas,1053830949,,SS,Veolia (antiguo Grupo Sala),Geoaseo,,actualmente filtro solo muestra tipo especial recolección requiere combos muestre solo activas
TIK3277,"Solicito por favor  su colaboración con la creación de usuarios con el perfil solicitante bt-mt.
Leandro Miranda Jimenez CC 1069052856
Abel Castañeda Fandiño CC 80727722",1053860140,Cambiar datos por BD,SS,Codensa,Geolumina,Datos,solicito favor colaboración creación usuarios perfil solicitante bt mt meandro miranda himeneo cc abel castaña bandido cc
TKT8672,"OBSERVACIÓN 151.El Wiget de imprimir planos no funciona desde le día de ayer 14  de enero, favor revisar e informar. correo 15 de enero 2019. Guillermo León.",1053828550,,NCC,Dosquebradas Energía y Luz S.A,Geolumina,,observación get imprimir planos funciona dia ayer enero favor revisar informar correo enero guillermo leon
TKT8673,solicito su colaboración para agregar los  siguientes campos en el reporte de archivo Tickets de Bascula  Registrados en un Periodo,1053830949,,NR,Veolia (antiguo Grupo Sala),Geoaseo,,solicito colaboración agregar siguientes campos reporte archivo tickets bascula registrados periodo
TKT8675,Usuario: 52266436 Contraseña: Octubre2019  Desde WSP se solicita la edición del CD en los elementos de Portafusibles y trafo desde postproceso .,1032459195,,SS,Codensa,Geolumina,,usuario contraseña octubre2019 esp solicita edición cd elementos portafusibles trato postproceso
TKT8677,Inactivar usuarios cartagena,1053830949,,SS,Veolia (antiguo Grupo Sala),Geoaseo,,inactiva usuarios cartagena
TKT8679,"El usuario Montenegro Losada, Oscar Eduardo (12370467) solicitad poder general reportes desde su perfil de aprobación AIT.",1032459195,,NCC,Codensa,Geolumina,,usuario montenegro posada oscar eduardo solicitud poder general reportes perfil aprobación it
TKT868,Dentro del proceso de filtro a la base de datos se requiere que aparezca una barra de avance del proceso ya que en muchos casos se queda el aplicativo como si estuviera bloqueado.,1053828550,,NR,CAR de Boyacá,Geoambiental,,dentro proceso filtro base datos requiere aparezca barra avance proceso casos queda paliativo si bloqueado
TKT8683,LLAMADA ENTRANTE,1032459195,,,Codensa,Geolumina,,llamada entrante
TKT8684,Se requiere la creación del siguiente proyecto para alta tensión.  PROYECTO:              CDIM_CBSGSM_R0119           AT NORMALIZACIÓN REPOSICIÓN SE SAN MATEO  PEP:                         D00249497  CUENTA:                  1620900004,1032459195,,NR,Codensa,Geolumina,,requiere creación siguiente proyecto alta tension proyecto cdim_cbsgsm_r0119 at normalización reposición san mateo pep d00249497 cuenta
TKT8685,LLAMADA ENTRANTE,1053828550,,,Applus Norcontrol Panamá S.A,Geolumina,,llamada entrante
TKT8686,"Recuperar el Brazo de la Luminaria LU293268/OT_15674/INTERIOR. Favor enviar a sigma para que se recupere el Brazo de la Luminaria LU293268, OT_15674. correo 15 de enero 2019. Laura Marín.",1053828550,,NCC,Applus Norcontrol Panamá S.A,Geolumina,,recuperar brazo luminaria lu293268 ot_15674 interior favor enviar sigma recupere brazo luminaria lu293268 ot_15674 correo enero laura marin
TIK1706,Informo que esta sucediendo lo mismo con la edición de tramos; no guarda los cambios en la edición;  esto es bloqueante por favor revisar,1053860140,"Formulario no guarda, no edita y o no elimina ",NCB,Dosquebradas Energía y Luz S.A,Geolumina,Formulario,informo sucediendo mismo edición tramos guarda cambios edición bloqueante favor revisar
TKT8689,Amablemente se solicita de su colaboración para corregir este error y poder realizar la aprobación de la OT en mención.     OT  PUNTO FISICO ERRADO  PUNTO FISICO CORRECTO  OT_1006853  84004819  48004819,1032459195,,SS,Codensa,Geolumina,,amablemente solicita colaboración corregir error poder realizar aprobación ot mencionó ot punto fisico errado punto fisico correcto ot_1006853
TKT8690,Verificar transmision de Pasto,1053830949,,SS,Veolia (antiguo Grupo Sala),Geoaseo,,verificar transmision pasto
TKT8693,EMAIL,1053847182,,,CAR de Caldas - Corpocaldas,Geoambiental,,email
TIK1142,Incluir los estados relacionados con acto administrativo que ordena diligencias administrativas,1053847182,1- Nuevo requerimiento,NR,CAR de Boyacá,Geoambiental,Nuevo requerimiento,incluir relacionados acto administrativo ordena diligencias administrativas
TKT8696,realizar un análisis a la salida del txt o en el módulo de movilidad para establecer porque se presentan las inconsistencias nombradas en los cuadros debajo,1032459195,,SS,Codensa,Geolumina,,realizar analisis salida text modulo movilidad establecer presentan inconsistencias nombradas cuadros debajo
TKT8698,Amablemente se solicita de su colaboración para corregir este error y poder realizar la aprobación de la OT en mención.     OT  PUNTO FISICO ERRADO  PUNTO FISICO CORRECTO  OT_1006917  44115995  44145995,1032459195,,SS,Codensa,Geolumina,,amablemente solicita colaboración corregir error poder realizar aprobación ot mencionó ot punto fisico errado punto fisico correcto ot_1006917
TKT8699,VIDEO,1053828550,,,Dosquebradas Energía y Luz S.A,Geolumina,,video
TKT8700,Revision de novedad con rutas creadas desde la tablet,1053830949,,SS,Veolia (antiguo Grupo Sala),Geoaseo,,revision novedad rutas creadas tablet
TKT8703,Realizar modificaciones a la Hoja de vida de Luminarias,1053828550,,SS,Dosquebradas Energía y Luz S.A,Geolumina,,realizar modificaciones hoja vida luminarias
TIK3264,"Reportamos una inconsistencia al descargar los adjuntos de las OT, en la barra aparece el número de la OT anterior que se descargó y no del que se está descargando.",1053860140,Error al exportar reporte,NCC,Codensa,Geolumina,Reporte,reportamos inconsistencia descargar adjuntos ot barra aparece numero ot anterior descargo descargando
TKT8704,LLAMADA ENTRANTE,1053828550,,,Llanogas,Geolumina,,llamada entrante
TKT8706,Se solicitad de su amable colaboración la OT_1001665 por parte de la cuadrilla hubo error de digitación en PF.     Puntos Físicos a corregir:     84041488 al  84081488 84044411 al 84044111,1032459195,,SS,Codensa,Geolumina,,solicitud amable colaboración ot_1001665 parte cuadrilla error digitación pf puntos fisicos corregir
TKT8707,En la OT_1000293 se deben borrar los:     PCR 534066  PCR 534094     Dichos elementos se encuentran duplicados.,1032459195,,SS,Codensa,Geolumina,,ot_1000293 deben borrar por por dichos elementos encuentran duplicados
TKT8709,Verificar por que aparecen porcas solicitudes para generar formato en aforo,1053830949,,SS,Sociedad aguas del norte antioqueno,Geoaseo,,verificar aparecen pocas solicitudes generar formato aforo
TKT8710,Subir los txt de las denuncias que siguen en estado asignada,1053828550,,SS,Dosquebradas Energía y Luz S.A,Geolumina,,subir text denuncias siguen asignada
TKT8711,Solicito de su  colaboración para que sea incluido en el campo CONSTRUCCION (MT-CD) la opción (Sobre apoyo fibra vidrio) la cual no se encuentra.,1032459195,,NR,Codensa,Geolumina,,solicito colaboración incluido campo construcción mt cd opción apoyo fibra vidrio encuentra
TKT8712,VIDEO,1053828550,,,Applus Norcontrol Panamá S.A,Geolumina,,video
TKT8715,"OBSERVACIÓN 152.El apoyo A000522 en info-capa aparece como estado bueno pero en formulario aparece como estado malo y no se deja cambiar el estado, por favor revisar, indicar la razón y si hay mas con este inconveniente. ver imagen. correo 16 de enero 2019. Guillermo León.",1053828550,,NCC,Dosquebradas Energía y Luz S.A,Geolumina,,observación apoyo a000522 info capa aparece bueno formulario aparece malo deja cambiar favor revisar indicar razon si mas inconveniente ver imagen correo enero guillermo leon
TKT8716,Veriificacion log movil usuario Manizales,1053830949,,SS,Veolia (antiguo Grupo Sala),Geoaseo,,verificación log movil usuario maizales
TKT2144,Ajuste a BI de barrido,1053830949,,NR,Veolia (antiguo Grupo Sala),Geoaseo,,ajuste bi barrido
TKT8717,En el correo de notificación diaria de las ordenes gestionadas en GEOLUMINA agregar los alcance de las ordenes,1032459195,,NR,Codensa,Geolumina,,correo notificación diaria ordenes gestionadas geolumina agregar alcance ordenes
TKT8718,No funciona el reporte de medidores zona interior,1053828550,,NCC,Applus Norcontrol Panamá S.A,Geolumina,,funciona reporte medidores zona interior
TKT8719,revisión campos obligatorios cargadores masivos,1058818488,,NR,Codensa,Geolumina,,revision campos obligatorios cargadores masivos
TKT8720,EMAIL,1053847182,,,CAR de Caldas - Corpocaldas,Geoambiental,,email
TKT8721,"Es posible saber los CT de BT que en MT tienen circuito diferente, pasarle informacion a applus, no configurar reporte sino generar la consulta por base de datos",1053828550,,SS,Applus Norcontrol Panamá S.A,Geolumina,,posible saber ct bt mt circuito diferente pasarle información apples configurar reporte sino generar consulta base datos
TIK1699,"Se crearon las OTs pero quedaron en el formulario Crear Ordenes de Trabajo, por favor validar los CTs para que sean asignadas.",1053860140,Cambiar datos por BD,SS,Applus Norcontrol Panamá S.A,Geolumina,Datos,crearon ots quedaron formulario crear ordenes trabajo favor validar cts asignadas
TKT8726,verificar la comparacion hecha en los reportes de Aforo,1053830949,,SS,Sociedad aguas del norte antioqueno,Geoaseo,,verificar comparación hecha reportes aforo
TKT8727,EMAIL,1053847182,,,CAR de Caldas - Corpocaldas,Geoambiental,,email
TIK6538,"Cordial saludo, solicito su colaboración para realizar el cargue de combustible adjunto en Cartagena",1053792868,Cambiar datos por BD,SS,Veolia (antiguo Grupo Sala),Geoaseo,Datos,cordial saludo solicito colaboración realizar cargue combustible adjunto cartagena
TKT8729,consultas reporte trayectos y pernoctaciones,1058818488,,NR,Codensa,Geolumina,,consultas reporte trayectos pernoctaciones
TKT8732,REUNION,1053771474,,,Veolia (antiguo Grupo Sala),Geoaseo,,reunion
TIK1145,En la lista desplegable del campo Tipo agregar la opción Revoca.,1053847182,1- Nuevo requerimiento,NR,CAR de Boyacá,Geoambiental,Nuevo requerimiento,lista desplegable campo tipo agregar opción revoca
TIK1338,Se requiere de su amable colaboración para cambiar el adjunto de la orden 1043221,1032459195,Cambiar datos por BD,SS,Codensa,Geolumina,Datos,requiere amable colaboración cambiar adjunto orden
TIK1147,Se requiere de su amable colaboración para cambiar el adjunto de la orden OT_1048058,1032459195,Cambiar datos por BD,SS,Codensa,Geolumina,Datos,requiere amable colaboración cambiar adjunto orden ot_1048058
TKT8733,Crear funcion para consulta de observaciones de OT -(Trayectos),1058818488,,NR,Codensa,Geolumina,,crear funciona consulta observaciones ot trayectos
TKT8734,Verificacion de lo tickets que estan guardandose en combustible Manizales,1053830949,,SS,Veolia (antiguo Grupo Sala),Geoaseo,,verificación tickets estan guardándose combustible maizales
TKT8735,Generar Informe de Actividades de CorpoCaldas,1053847182,,SS,CAR de Caldas - Corpocaldas,Geoambiental,,generar informe actividades corpocaldas
TIK3039,Ajustar la plantilla de esta acta que donde aparezca interventor o interventoria se cambie por supervisor o supervisión,1053847182,1- Nuevo requerimiento,NR,CAR de Caldas - Corpocaldas,Geoambiental,Nuevo requerimiento,ajustar plantilla acta aparezca interventor interventor cambie supervisor supervision
TKT8737,Poder generar un informe de descargos con mínimo la siguiente información:     Zona  Fecha solicitud  Placa  Circuito  Subestación  Nivel de Tensión  Fecha instalación  Empresa colaboradora  Alcance,1032459195,,SS,Codensa,Geolumina,,poder generar informe descargos minimo siguiente información zona fecha solicitud placa circuito subestación nivel tension fecha instalación empresa colaboradora alcance
TKT8739,"Buen día, Informo que no es posible acceder desde mi usuario a Geoaseo, ya lo he intentado varias veces y aparece como si estuviera errado algun dato, sin embargo, estoy segura que los he digitado correctamente.Adjunto captura de pantalla.",1053830949,,NCC,Veolia (antiguo Grupo Sala),Geoaseo,,buen dia informo posible acceder usuario gaseo intentado varias veces aparece si errado algun dato embargo segura digitando correctamente adjunto captura pantalla
TKT8740,VIDEO,1053828550,,,Dosquebradas Energía y Luz S.A,Geolumina,,video
TIK1717,"Señor Daniel Abogado, usted me puede colaborar con la siguiente información de las OTs de MT:

Quien tiene a cargo cada una de las siguientes

 

OT
1006867
1006869
1006879
1006883
1015166
1022578
1022972
",1032459195,Calculo erroneo en formulario,NCB,Codensa,Geolumina,Formulario,señor daniel abogado usted puede colaborar siguiente información ots mt cargo cada siguientes ot 1006867 1006869 1006879 1006883 1015166 1022578 1022972
TIK4734,"De manera atenta solicito sea posible visualizar las capas de Polivalvulas y levantar Red, desde un nivel de zoom de 1 km, ya que se empieza a trabajar en un proyecto grande en zonas veredales y con el nivel de visualización con el que cuenta las capas en el visor  (Excluyendo Geogas) se vuelve tedioso realizar el debido seguimiento, agradezco su colaboración.",1053860140,Cambiar datos por BD,SS,Llanogas,Geolumina,Datos,manera atenta solicito posible visualizar capas polivalvulas levantar red nivel zoom km empieza trabajar proyecto grande zonas cereales nivel visualización cuenta capas visor excluyendo geodas vuelve tedioso realizar debido seguimiento agradezco colaboración
TKT8741,"Se requiere cambiar los datos del líder de cuadrilla  #8 Rafael Antonio Bocanegra (1006526995) por lo siguientes datos  Edison Javier Muñoz Cortes  identificado con cédula 3059359,",1032459195,,SS,Codensa,Geolumina,,requiere cambiar datos lider cuadrilla rafael antonio bocanegra siguientes datos edison javier muñoz cortes identificado cedula
TKT8742,identificar el usuario que creo estas ordenes de in disponibilidad   OT OT_1001953  OT_1001963  OT_1001997  OT_1002002  OT_1002043  OT_1002156  OT_1002157  OT_1001987  OT_1001996  OT_1002151  OT_1002152  OT_1002153  OT_1002154  OT_1002155  OT_1002158  OT_1002159  OT_1002701  OT_1002705  OT_1002706  OT_1002711  OT_1002712  OT_1002713  OT_1002714  OT_1003965  OT_1002753  OT_1002754  OT_1002755  OT_1002756  OT_1002757  OT_1003994  OT_1002820  OT_1000880  OT_1000881  OT_1000882  OT_1000883  OT_1000884  OT_1000885  OT_1000887  OT_1000888  OT_1000889  OT_1000891  OT_1000892  OT_1000893  OT_1000896  OT_1000897  OT_1000898  OT_1000899  OT_1004320  OT_1000890,1032459195,,NCC,Codensa,Geolumina,,identificar usuario creo ordenes in disponibilidad ot ot_1001953 ot_1001963 ot_1001997 ot_1002002 ot_1002043 ot_1002156 ot_1002157 ot_1001987 ot_1001996 ot_1002151 ot_1002152 ot_1002153 ot_1002154 ot_1002155 ot_1002158 ot_1002159 ot_1002701 ot_1002705 ot_1002706 ot_1002711 ot_1002712 ot_1002713 ot_1002714 ot_1003965 ot_1002753 ot_1002754 ot_1002755 ot_1002756 ot_1002757 ot_1003994 ot_1002820 ot_1000880 ot_1000881 ot_1000882 ot_1000883 ot_1000884 ot_1000885 ot_1000887 ot_1000888 ot_1000889 ot_1000891 ot_1000892 ot_1000893 ot_1000896 ot_1000897 ot_1000898 ot_1000899 ot_1004320 ot_1000890
TKT8743,LLAMADA ENTRANTE,1032459195,,,Codensa,Geolumina,,llamada entrante
TKT8744,LLAMADA ENTRANTE,1032459195,,,Codensa,Geolumina,,llamada entrante
TIK1876,"Por favor dar tramite a esta solicitud, consulta de de Ordenes de Geolumina con los siguientes campos mencionados, similar a la consulta anterior , de tipo actualización para MT, con
fecha del 28 de junio 2019 a la fecha de hoy.

Código OT
Fecha
Tipo
Trabajos previstos Alcance 
Nivel tensión
Alcance  ",1053860140,Cambiar datos por BD,SS,Codensa,Geolumina,Datos,favor dar tramite solicitud consulta ordenes geolumina siguientes campos mencionados similar consulta anterior tipo actualización mt fecha junio fecha hoy codigo ot fecha tipo trabajos previstos alcance nivel tension alcance
TKT8745,EMAIL,1032459195,,,Codensa,Geolumina,,email
TKT8746,Se requiere agregar a los operadores del centro de control de las cumplimentaciones a Juan Acosta  en la plataforma y dentro del archivo de cargue masivo .,1032459195,,NCC,Codensa,Geolumina,,requiere agregar operadores centro control cumplimentaciones juan acosta plataforma dentro archivo cargue masivo
TKT8747,La OT_1001653 por parte de la cuadrilla hubo error de digitación en PF.     Puntos Físicos a corregir:     15504515  al  15504815 70049283  al   70049238  Quedo atento a cualquier duda o inquietud. Agradezco su tiempo y disposición.,1032459195,,SS,Codensa,Geolumina,,ot_1001653 parte cuadrilla error digitación pf puntos fisicos corregir quedo atento cualquier duda inquietud agradezco tiempo disposición
TIK4706,Bajar caché el formulario de autos de realizar seguimiento.,1053847182,1- Nuevo requerimiento,NR,CAR de Boyacá,Geoambiental,Nuevo requerimiento,bajar cache formulario autos realizar seguimiento
TKT8750,Se requiere de su amable colaboración dada la solicitud de WSP y Codensa  para reasignar la totalidad de las OTs del adjunto al proyecto:     PROYECTO TRAFOS BR,1032459195,,SS,Codensa,Geolumina,,requiere amable colaboración dada solicitud esp condensa reasignar totalidad ots adjunto proyecto proyecto tragos br
TIK4876,Se requiere la creación de puntos físicos de postes para la cuadrilla C5 Diego Garcia,1053860140,Cambiar datos por BD,SS,Codensa,Geolumina,Datos,requiere creación puntos fisicos postes cuadrilla c diego garcia
TIK1618,sE REQUIERE SUBIR 25 FOTOS AL COMENTARIO DE ORDEN EFECTIVA DE LA ORDEN OT_1000923,1032459195,Cambiar datos por BD,SS,Codensa,Geolumina,Datos,requiere subir fotos comentario orden efectiva orden ot_1000923
TKT8754,EMAIL,1053847182,,,CAR de Caldas - Corpocaldas,Geoambiental,,email
TIK1401,Construcción de manual y pruebas app supervisión de calidad,1058818488,1- Nuevo requerimiento,NR,Codensa,Geolumina,Nuevo requerimiento,construcción manual pruebas app supervision calidad
TIK1719,Se requiere de su amable colaboración para cambiar el aOT_1010518OT_1006867OT_1006869OT_1006879OT_1006883OT_1015166OT_1022578OT_1022972djunto de las siguientes orden ,1032459195,Cambiar datos por BD,SS,Codensa,Geolumina,Datos,requiere amable colaboración cambiar aot_1010518ot_1006867ot_1006869ot_1006879ot_1006883ot_1015166ot_1022578ot_1022972djunto siguientes orden
TKT8757,revision de correo HOJAS PARA REVISION Y CORRECCION EN GEOASEO,1053856994,,SS,Veolia (antiguo Grupo Sala),Geoaseo,,revision correo hojas revision corrección gaseo
TKT8758,cargue facturación DIT - noviembre diciembre,1058818488,,NR,Codensa,Geolumina,,cargue facturación dit noviembre diciembre
TIK1337,"Es necesario que se filtren los expedientes que se le fueron asignados a cada tecnico, lo cual, funcionaba asi y ahora se modifico la configuracion del filtro",1053847182,No carga un formulario,NCB,CAR de Boyacá,Geoambiental,Formulario,necesario filtren expedientes asignados cada tecnico funcionaba asi ahora modifico configuración filtro
TKT8761,"Solicito de su amable colaboración con la Reasignación de estas OT_1009031 de Actualización, que por error fue aprobada por el gestionador .",1032459195,,SS,Codensa,Geolumina,,solicito amable colaboración reasignación ot_1009031 actualización error aprobada gestionado
TKT8762,Se requiere de su amable colaboración colocando el archivo adjunto de este correo en la orden  OT_1009713,1032459195,,SS,Codensa,Geolumina,,requiere amable colaboración colocando archivo adjunto correo orden ot_1009713
TKT8763,Fallo en el formato de seguimiento de interventoría,1053847182,,NCB,CAR de Caldas - Corpocaldas,Geoambiental,,fallo formato seguimiento interventor
